scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
118,193.73023986816406,195.91635131835938,0.9638935923576355,199.91387939453125,241.79568481445312,0.9871620535850525,200.52688598632812,281.50653076171875,0.9272240400314331
119,193.73023986816406,197.74465942382812,0.9564051032066345,199.19473266601562,244.205322265625,0.988229513168335,200.52688598632812,282.8677062988281,0.9323554635047913
120,193.61224365234375,198.92086791992188,0.9498841166496277,199.11447143554688,246.1355438232422,0.9890505075454712,200.52688598632812,284.21295166015625,0.9305189847946167
121,193.2422332763672,202.01791381835938,0.9490357637405396,198.76268005371094,248.9095458984375,0.9860728979110718,200.52688598632812,286.0792541503906,0.9455951452255249
122,192.97470092773438,205.92762756347656,0.9263575077056885,197.2891387939453,250.03273010253906,0.9811848998069763,200.11013793945312,288.4743957519531,0.9575982093811035
123,191.718505859375,206.7838897705078,0.9138310551643372,196.05555725097656,253.4469451904297,0.9835055470466614,198.8156280517578,289.06866455078125,0.9654827117919922
124,191.34877014160156,208.71192932128906,0.9380677342414856,194.20339965820312,253.73233032226562,0.9854189157485962,195.55575561523438,292.8836364746094,0.9781777858734131
125,189.39654541015625,212.607177734375,0.9375243782997131,192.510986328125,255.7809295654297,0.9839720726013184,192.80569458007812,295.41668701171875,0.9682152271270752
126,189.3725128173828,214.02725219726562,0.9362726807594299,192.24778747558594,257.3304138183594,0.9843224883079529,191.76170349121094,297.9932861328125,0.9313311576843262
127,188.5166015625,214.89585876464844,0.9248302578926086,191.4288787841797,259.8409423828125,0.9846013784408569,191.53475952148438,300.3514099121094,0.9363945126533508
128,183.43426513671875,216.62257385253906,0.9238571524620056,188.47567749023438,262.60223388671875,0.9663350582122803,187.1062469482422,302.3387145996094,0.9195963144302368
129,182.6588134765625,218.7755584716797,0.9316830635070801,187.64073181152344,264.7611999511719,0.9497535228729248,186.06849670410156,305.8594665527344,0.9443162679672241
130,181.80322265625,219.65089416503906,0.9183643460273743,186.81396484375,267.4751281738281,0.940670907497406,184.88583374023438,305.8626708984375,0.9354503750801086
131,180.60113525390625,222.53060913085938,0.9527749419212341,186.43898010253906,270.0523376464844,0.9697698354721069,182.85440063476562,307.61981201171875,0.9658997058868408
132,178.6761016845703,224.1481475830078,0.9609333276748657,184.52084350585938,272.62481689453125,0.9807253479957581,181.97523498535156,311.54766845703125,0.9603486657142639
133,178.31422424316406,225.38607788085938,0.9681664109230042,184.42176818847656,273.8637390136719,0.9848959445953369,181.05169677734375,314.15313720703125,0.9502512216567993
134,177.139892578125,226.24142456054688,0.9687318205833435,183.67709350585938,276.3175354003906,0.9820560812950134,179.30197143554688,314.2452697753906,0.9339479804039001
135,175.66403198242188,226.9946746826172,0.96165931224823,181.84161376953125,277.1021423339844,0.9894573092460632,178.57333374023438,317.03106689453125,0.9399946331977844
136,174.7013397216797,228.15817260742188,0.9518605470657349,181.53067016601562,277.7781982421875,0.9896546602249146,178.36146545410156,318.3241882324219,0.9633303880691528
137,174.34579467773438,229.4405517578125,0.930996835231781,181.29818725585938,280.1265563964844,0.9873328804969788,177.64077758789062,319.7803039550781,0.9808958768844604
138,173.96656799316406,231.53919982910156,0.9172983169555664,180.59881591796875,281.5675048828125,0.984413206577301,176.89328002929688,320.21295166015625,0.9757022857666016
139,173.70362854003906,235.66468811035156,0.9016979932785034,179.1071014404297,282.1690673828125,0.9794642925262451,175.70346069335938,321.0483703613281,0.9764501452445984
140,173.16513061523438,236.3553924560547,0.8914918899536133,178.9283447265625,283.1092529296875,0.9796317219734192,175.44625854492188,322.5245666503906,0.9792889952659607
141,173.16513061523438,236.3553924560547,0.8484160900115967,178.31527709960938,283.2352600097656,0.9789121150970459,174.72193908691406,323.3619079589844,0.9747426509857178
142,173.0259552001953,236.3553924560547,0.8671531677246094,177.28836059570312,283.8817443847656,0.9778056144714355,174.44561767578125,324.2736511230469,0.9737597107887268
143,172.93373107910156,236.3331756591797,0.8614370226860046,177.28836059570312,283.8817443847656,0.9730179905891418,174.44561767578125,324.2736511230469,0.9636071920394897
144,168.9440155029297,234.6961669921875,0.8553453683853149,177.28836059570312,283.5555114746094,0.9706965088844299,174.44561767578125,323.3619079589844,0.9749097228050232
145,168.9440155029297,234.56056213378906,0.8838182687759399,177.51223754882812,283.6425476074219,0.9737077355384827,174.59481811523438,323.35382080078125,0.9767662286758423
146,168.9440155029297,234.56056213378906,0.8588290810585022,177.6079559326172,283.5555114746094,0.9720038175582886,174.59481811523438,323.08660888671875,0.981312096118927
147,169.57545471191406,234.3680877685547,0.8751904964447021,177.65353393554688,283.341064453125,0.9757705926895142,174.6488037109375,322.9560852050781,0.9822340607643127
148,169.729736328125,234.20758056640625,0.8702273368835449,178.04672241210938,282.4574890136719,0.9719923734664917,174.90911865234375,322.9560852050781,0.9786040782928467
149,170.18875122070312,234.3680877685547,0.8883586525917053,178.3518524169922,282.2913818359375,0.9750609397888184,174.90911865234375,322.12908935546875,0.9762702584266663
150,173.1288604736328,234.80377197265625,0.8726667761802673,178.3518524169922,282.2913818359375,0.9765955209732056,175.1558837890625,322.12908935546875,0.97865891456604
151,171.24893188476562,234.3680877685547,0.889564573764801,178.478515625,282.1909484863281,0.9712902903556824,175.22239685058594,322.12908935546875,0.9774741530418396
152,173.52125549316406,234.20758056640625,0.8928850889205933,178.96510314941406,282.00677490234375,0.9757289290428162,175.56468200683594,322.5512390136719,0.9805364608764648
153,173.52125549316406,233.8978271484375,0.8985522389411926,179.11422729492188,281.6758117675781,0.9760037660598755,175.6523895263672,322.5512390136719,0.9791481494903564
154,173.7153778076172,233.65650939941406,0.917243480682373,180.62057495117188,281.6725769042969,0.9838345050811768,175.9287567138672,322.5512390136719,0.9823204278945923
155,174.65586853027344,233.1212158203125,0.9182183742523193,181.4174041748047,281.64263916015625,0.9839069843292236,176.1135711669922,321.3688659667969,0.9839163422584534
156,175.1251220703125,232.7782745361328,0.9370121955871582,181.55519104003906,281.1005554199219,0.9842262864112854,177.27471923828125,321.25006103515625,0.9842098951339722
157,175.5176544189453,232.69509887695312,0.9297376275062561,182.01095581054688,281.1005554199219,0.9851709008216858,177.88623046875,321.1113586425781,0.9823867082595825
158,175.5526123046875,228.86056518554688,0.9387361407279968,183.35838317871094,280.84478759765625,0.9866920113563538,178.57359313964844,320.8388366699219,0.9784703254699707
